entity_id,interval_dt_tm,dev_username,app_id,api_name,resource_name,response_status_code
bbva,"2016-03-01 15:07:42",everest,app.bbva.dev.clientapi,cards-sbx,GET#cards-sbx#v1#/me/cards,200
bbva,"2016-03-01 15:07:39",everest,app.bbva.dev.clientapi,identity-sbx,GET#identity-sbx#v1#/me,200
bbva,"2016-03-01 13:31:17",everest,app.bbva.dev.clientapi,accounts-sbx,GET#accounts-sbx#v1#/me/accounts,200
bbva,"2016-03-01 13:31:15",everest,app.bbva.dev.clientapi,cards-sbx,GET#cards-sbx#v1#/me/cards,200
bbva,"2016-03-01 13:31:04",everest,app.bbva.dev.clientapi,accounts-sbx,GET#accounts-sbx#v1#/me/accounts/{accountId},200
bbva,"2016-03-01 13:31:04",everest,app.bbva.dev.clientapi,accounts-sbx,GET#accounts-sbx#v1#/me/accounts/{accountId},200
bbva,"2016-03-01 13:30:58",everest,app.bbva.dev.clientapi,accounts-sbx,GET#accounts-sbx#v1#/me/accounts/{accountId},200
bbva,"2016-03-01 13:30:55",everest,app.bbva.dev.clientapi,accounts-sbx,GET#accounts-sbx#v1#/me/accounts,200
bbva,"2016-03-01 13:30:42",everest,app.bbva.dev.clientapi,identity-sbx,GET#identity-sbx#v1#/me,200
bbva,"2016-03-01 13:23:42",everest,app.bbva.dev.clientapi,identity-sbx,GET#identity-sbx#v1#/me,200
bbva,"2016-03-01 13:23:23",everest,app.bbva.dev.clientapi,accounts-sbx,GET#accounts-sbx#v1#/me/accounts,200
bbva,"2016-03-01 13:22:51",everest,app.bbva.dev.clientapi,cards-sbx,GET#cards-sbx#v1#/me/cards,200
bbva,"2016-03-01 13:22:44",everest,app.bbva.dev.clientapi,accounts-sbx,GET#accounts-sbx#v1#/me/accounts,200
bbva,"2016-03-01 13:22:42",everest,app.bbva.dev.clientapi,identity-sbx,GET#identity-sbx#v1#/me,200
bbva,"2016-03-01 13:22:20",everest,app.bbva.dev.clientapi,identity-sbx,GET#identity-sbx#v1#/me,200
bbva,"2016-03-01 11:30:53",Alfonso,app.bbva.M77CDz4g2eVR,paystats_sbx,GET#paystats_sbx#2#/tiles/{latitude}/{longitude}/payment_distribution,200
bbva,"2016-03-01 11:30:53",Alfonso,app.bbva.M77CDz4g2eVR,paystats_sbx,GET#paystats_sbx#2#/tiles/{latitude}/{longitude}/consumption_pattern,200
bbva,"2016-03-01 11:30:52",Alfonso,app.bbva.M77CDz4g2eVR,paystats_sbx,GET#paystats_sbx#2#/tiles/{latitude}/{longitude}/cards_cube,200
bbva,"2016-03-01 11:30:51",Alfonso,app.bbva.M77CDz4g2eVR,paystats_sbx,GET#paystats_sbx#2#/tiles/{latitude}/{longitude}/basic_stats,200
default_entity,"2016-03-01 10:34:50",Developer,app.default.GenoaApiExecutor,GenoaAPI,PUT#GenoaAPI#1#/developer/{username},200
default_entity,"2016-03-01 10:26:24",Developer,app.default.GenoaApiExecutor,GenoaAPI,PUT#GenoaAPI#1#/developer/{username},200
bbva,"2016-03-01 10:04:58",everest,app.bbva.dev.clientapi,accounts-sbx,GET#accounts-sbx#v1#/me/accounts,200
bbva,"2016-03-01 10:04:49",everest,app.bbva.dev.clientapi,cards-sbx,GET#cards-sbx#v1#/me/cards,200
bbva,"2016-03-01 10:04:22",everest,app.bbva.dev.clientapi,accounts-sbx,GET#accounts-sbx#v1#/me/accounts/{accountId},200
bbva,"2016-03-01 10:04:16",everest,app.bbva.dev.clientapi,accounts-sbx,GET#accounts-sbx#v1#/me/accounts,200
bbva,"2016-03-01 10:03:56",everest,app.bbva.dev.clientapi,identity-sbx,GET#identity-sbx#v1#/me,200
default_entity,"2016-03-01 09:59:46",Developer,app.default.GenoaApiExecutor,GenoaAPI,PUT#GenoaAPI#1#/developer/{username},200
default_entity,"2016-03-01 09:57:31",Developer,app.default.GenoaApiExecutor,GenoaAPI,PUT#GenoaAPI#1#/developer/{username},200
default_entity,"2016-03-01 09:56:55",Developer,app.default.GenoaApiExecutor,GenoaAPI,PUT#GenoaAPI#1#/developer/{username},200
default_entity,"2016-03-01 09:54:29",Developer,app.default.GenoaApiExecutor,GenoaAPI,PUT#GenoaAPI#1#/developer/{username},200
default_entity,"2016-03-01 09:35:20",Developer,app.default.GenoaApiExecutor,GenoaAPI,PUT#GenoaAPI#1#/developer/{username},200
default_entity,"2016-03-01 09:26:59",Developer,app.default.GenoaApiExecutor,GenoaAPI,PUT#GenoaAPI#1#/developer/{username},200
